customer_id,gender,age,country,segment,join_date,recency,frequency,monetary,avg_txn_amt,total_points,cluster
CUST_0,Female,58,Qatar,Silver,2023-04-14,46,7,942.09,134.5842857142857,2080,2
CUST_1,Male,46,Qatar,Silver,2023-02-14,6,4,596.23,149.0575,1388,6
CUST_2,Female,28,Qatar,Bronze,2023-06-09,8,8,1225.97,153.24625,1456,-1
CUST_3,Female,58,Oman,Gold,2023-02-04,13,5,984.37,196.874,1759,-1
CUST_4,Male,46,UAE,Bronze,2021-08-03,283,1,244.61,244.61,389,-1
CUST_5,Female,40,Oman,Silver,2023-04-07,112,4,789.31,197.3275,1462,-1
CUST_6,Male,60,KSA,Gold,2021-02-24,11,7,1413.86,201.98,2024,2
CUST_7,Female,60,KSA,Gold,2022-05-13,106,5,688.65,137.73,1217,4
CUST_8,Female,55,UAE,Silver,2021-09-16,77,2,66.19,33.095,745,-1
CUST_9,Male,55,UAE,Bronze,2021-10-22,186,6,889.66,148.27666666666667,1204,-1
CUST_10,Female,52,Qatar,Silver,2022-02-13,66,5,676.89,135.378,1305,4
CUST_11,Male,57,KSA,Gold,2022-05-22,42,4,950.08,237.52,826,-1
CUST_12,Female,58,Qatar,Silver,2021-06-02,199,5,868.5,173.7,1440,-1
CUST_13,Female,33,UAE,Bronze,2021-01-14,153,3,226.76,75.58666666666666,505,-1
CUST_14,Male,52,UAE,Gold,2022-05-11,53,8,1039.35,129.91875,2318,1
CUST_15,Male,21,KSA,Silver,2021-03-11,6,10,2002.26,200.226,2583,-1
CUST_16,Male,57,UAE,Bronze,2022-05-16,128,6,539.34,89.89,1573,-1
CUST_17,Female,26,Oman,Gold,2022-02-09,129,1,153.22,153.22,12,-1
CUST_18,Female,44,Oman,Silver,2022-10-16,38,6,732.6800000000001,122.11333333333334,781,-1
CUST_19,Male,19,Oman,Bronze,2022-05-11,52,4,831.25,207.8125,1457,-1
CUST_20,Male,40,KSA,Silver,2022-08-10,117,4,443.33,110.8325,1139,6
CUST_21,Female,41,KSA,Bronze,2021-12-16,323,7,1447.5800000000002,206.7971428571429,1892,-1
CUST_22,Male,52,KSA,Gold,2022-12-26,31,4,426.97,106.7425,572,-1
CUST_24,Female,23,KSA,Gold,2023-01-25,291,7,1117.0,159.57142857142858,1742,-1
CUST_25,Female,28,UAE,Gold,2021-04-03,17,3,465.9,155.3,1134,-1
CUST_26,Female,36,UAE,Bronze,2023-05-10,80,9,1440.31,160.03444444444443,2368,-1
