review,true_label,pred_label,confidence
 البعض يراها عملا عبقريا .اما انا فأراها معالجة سيئة لرواية نادى القتال,0,1,0.982
 كتاب بسيط و مسلي بس سطحي شوية تحس انه بيعبر عن اللي جوانا و مش بنعرف نقوله سعره غالي مقارنة بعدد صفحاته,2,0,0.945
" مملة.ومليئة بالتفاصيل المملة , الله يسامح الي نصحني فيها ضيعت وقتي ! وهذا مش معناه ان مافيها جماليات هنا وهناك لكن هذا النسق العام.فرق شاسع عن عزازيل",0,1,0.995
 لم أجد في الكتاب شيئاً جديداً، بل كان في مجمله حديثاً عن أهمية الديموقراطية ونبذ الاستبداد مما أجد صعوبة في فهم منطق من يعترض على ذلك. الكتاب جيد لهذه الفئة المعارضة وإن كنت أشك في أن تغير قناعاتها بسببه، أما المؤمنون بأهمية الديموقراطية فسيقرأون حديثاً يؤكد لهم ذلك فقط.,1,2,0.721
 أنهيت قراءاته شاعرة بأعراض المرض :),0,1,0.509
 عبقرى عبقرى انا عن نفسى شايفة ان دى اكتر رواية مرعبة كتبها دكتور احمد و شايفة انى هتبدأ تتحقق قريب جدا جدا و عشان كده هى مرعبة طبعا عشان واقعية هى متشائمة جدا جدا بس انا شايفة ان ده ممكن يكون اقل من اللى ممكن يحصل فى المستقبل و الله اعلم يارب يارب منوصلش للمرحلة دى,2,0,0.987
 سمعتها تسبقها وبرأيي لا تستحق هذه السمعة !,0,1,0.987
 لا أعلم هل الترجمة هي السيئة أم الكتاب نفسه، مع إني أحب الكتب التاريخية والسير الذاتية إلا أن هذا الكتاب ماقدرت أكمل 200 صفحة منه!,0,0,0.862
 ملل.ملل.ملل ثم كثيرا من الملل لا تنتمى لعزازيل بصلة ولا أقدر حتى تخيل ان ابدع عزازيل قد خرج علينا بمثل ذاك لاأحداث لاشخصيات.لا شىء فقط وصف.وصف ممل يمكن ان تكون اخر عبارة قالتها مارية هى الافضل فى كل الرواية!!,0,1,0.991
 بروباجندا زيادة عن اللاااااااااااازم اعذرونى يمكن انا مش رومانسية بس انا حسيت ان دماغى وقفت وانا بقراها مفيش حاجة افكر فيها القصة كلها محورها قصة حب فكرتنى بافلام العربى الابيض والاسود والافورة اللى فيها,0,0,0.883
" الكتاب بسيط. وقصته ربما تحدث فى المستقبل القريب جدا رؤية تشاؤمية لمستقبل مصر. لكنها محتملة أسلوب أحمد خالد توفيق شيق كالعادة، ومبسط لكن مشكلته فى هذه الرواية بالذات أنه تعامل معها كروايات مصرية للجيب. ""فى السريع وإدلق"" لم أشعر بمحاولة الكاتب فى التأنى والكتابة بتروى وعمق كرر الكثير والكثير من الجم.",0,0,0.645
 فى البداية شعرت بالملل و الضجر من تفاصيل الرواية التى قد لا تفيد بشئ غير أنها حشو تقليدى و لكن لم يلبث أن أعجبت بمدى تتابع الاحداث وبدأ السرد فى بعض من الفساد السياسى الذى كان مستشرى فى هذا الوقت فتناوله لفساد النواب و تزوير الانتخابات و فساد عناصر الشرطة و الالتفات الى وضع القضية الفلسطينية فى هذا الوقت كله قد اضفى المزيد من الواقع على الرواية و هو ما أحبه كثيرا -دمج الواقع فى الرواية- أعجبنى ايضا الوصف المفصل للاشياء المادية فى الرواية و أعجبنى أيضا استخدام اللغة العربية العامية فى مواضعها ,1,1,0.966
 تحححفة بصراحة . اسلوبها حلوووو اوى وعجبني . شدتني اوى وكان نفسى اعرف نهايتها اللى كنت متوقعاها تقريبا اتضايقت اوى لاستسلام هالة لرجل مغرور اناني زي ده عجبني انها قدرت ازاى تطعنه ف كبريائه ! وازاى متكسرتش قدامه وده اللى كان هو عاوزه هو عنده حب امتلاك . وعجبني اسمها اوى :),2,0,0.693
 افكار بسيطة لكن مهمة. لم يعجبني كثيرا ربما لان اغلب محتواه بالنسبه لي كان بديهي لكنه كتاب جيد عموما يجمع فيه السباعي تأملاته عن الحياة والدين,0,0,0.713
 كتاب جميل في محتواه . واقعي بأسلوب فكاهي يسهل على القارئ الفهم والتطبيق . . يتناول مواضيع مختلفة تنبه الإنسان لفهم المواقف التي قد يواجهها في تعاملاته مع الأخرين وتنتهي بشحنات غضب ومنها ترك في القلوب بصمات كره وضيق للأخر . نتعجب من ردات فعل الأخرين وتصرفاتهم ونحن على قناعة تامة أننا لو كنا في موقفهم لكان تصرفنا أفضل بكثير. ولكن الحقيقة أننا تجاهلنا أن كلا منا ولد في اسرة مختلفة وتربى في بيئة مختلفة ودرس في مدارس مختلفة وبالتالي تعرض لتجارب و دروس مختلفة في حياته تأثر الأن في طريقة تفكيره وتبرمج عقله وبالتالي سلوكه وردات فعله . أنصح الجميع بقراءته . ,2,0,0.89
" لا اعلم لماذا أشعر أن نهايات قصصها ليست مشبعة . بمعنى ، انه بعد الكم الهائل من المشاعر والكلام والقصص أحتاج الى نهاية تشبعني عانيت من نفس الاحساس بعد انتهائي من "" احببتك اكثر مما ينبغي",1,1,0.876
 رواية مملة جدا.على عكس ما توقعت تماما أعجبتني بعض الأجزاء.لكن في المجمل العام أصابتني بالملل الشديد . لم يفلح الكاتب إلا في حشو السطور بالمشاهد الجنسية.التي كانت كثيرة جدا و لم أجد لها فائدة في السياق العام للرواية. ترتيب الاحداث به كثير من السقطات.فتارة تجري الأحداث بسرعة غير مبررة.و تارة يصف التفاصيل بأسلوب ممل جدا يجعلك تغلق الرواية و تنصرف. تجربة لا أنصح بها ,0,1,0.996
" رواية جميلة جدا، وانا اقراها كأني اقرا رواية موانئ المشرق لامين معلوف, هناك اوجه شبه كثيرة بين الروايتين لعل ابرزها البؤس الكبير الذي عاشاه البطلان و النهاية السعيدة لكل منهما. اظنها تستحق ان تكون افضل رواية عربية لعام 2012. ومما اعجبني في الرواية كذلك انها تاريخية تحكي جزءا من تاريخ الدولة العثمانية في اخر ايامها بشرق اوروبا. و اعتماد كاتبها على مراجع كثيرة استقى منها قصته هذه. ",1,1,0.873
 إذا أردت أن تقرأ كتاباً مسلياً تبتسم فيه مع الكاتب الظريف بلغته العربية السلسلة الجميلة ، فعليك بقراءة الوزير المرافق فيه مقتطفات وومضات من حياة الساسة وعملهم ولكن بدون كثير معرفة أو تعمق في المواضيع غلبت عليه السطحية ولا يُلام الكاتب فلو زاد لمُنِع. ذكّرني بكتاب حديث الذاكرة للشيخ سلطان القاسمي الذي وجدته فَقَد كثيراً من قيمته بسبب الخوف والمجاملات السياسية. ولكن نقول الحمدلله فلولا حيطة وابداع هذين الكاتبين الرائعين لما خرج ابداعهما إلينا وكما هو متوقع كانت أظرف لقاءات القصيبي (وهو الوزير المرافق) مع أعجب الشخصيات كالقذافي وعيدي أمين (وقد عنون له بقاهر الإمبراطورية البريطانية ولا أدري لماذا) ، ولا تملك نفسك إلا أن تضحك مع الكاتب ومواقفه معهم ,1,1,0.441
 هناك روايات لا تصلح لتعيش لزمن طويل هذه واحدة منهم من وجهة نظري,0,2,0.621
" أرى هذه الرواية جوفاء تقريبًا وليس بها ثمة شيء مقبول سوى تعدد الرواة بهذا الأسلوب رغم أنه قديم جدًا ولم يقدم فيه القعيد جديدًا. ما عدا ذلك فالرمزية السطحية والمباشرة الخطابية تغلفان العمل فكأنه صراخ لا عمل أدبي. وقد كنت على استعداد أن أمنح العمل نجمتين إلا أني كرهته لجزئين وردا فيه بلغ فيهما الحنق بالمؤلف مبلغه فأجرى التالي على لسان أحد أبطاله: "".حكايته أكدت لي معنى واحدًا: إنه لا يوجد عدل في عالمنا، وأننا إن قررنا احترام إنسانيتنا لا بد وأن نطالب الله بالعدل، وإن رفض مطلبنا هذا لا بد من البحث عن رب غيره. والعدل له معنى واحد: أن يعطي القوة والقدرة لمن له حق وعاجز عن تحقيقه، أرجوكم"" ص 108 ""العمدة قوي، ويردد دائمًا أن قوته من الله، ويبدو أن هذا صحيح. عمومًا إن كان الله قد اختار صف الأغنياء وقرر أن يكون ربهم وحدهم، فما على الفقراء إلا البحث عن رب لهم. من يدري، قد يجدونه. ربما كان في انتظارهم منذ أن عرف عالمنا المسافات الضخمة بين الفقراء والأغنياء، والتي تزداد اتساعًا كل يوم"" ص 117 كقاعدة عامة، فإن ما يقال على لسان أبطال العمل لا يمثل بالضرورة فكر الكاتب، بل قد يكون مضادًا له، لكن هناك نقطتين هامتين هنا: 1. إن كانت شخصية البطل الضد تستدعي فكرًا يخالف فكر الكاتب فلا يعني هذا رفع القلم عن الكاتب بحيث يكتب ما يريد دون وازع أو رادع، لأن كلماته هذه لن تقف عنده بل ستنطلق لتؤثر في عدد يعلمه الله من الناس. ولا أحب أن أكون في موضع كاتب كتب شيئًا مما ذكرت أعلاه أمام الله سبحانه وتعالى أُسأل فلا أجد ردًا سوى أن هذا ضرورة فنية. الكاتب البارع، قلت كثيرًا وأكرر، لديه من الأدوات ما يمكنه من فعل ما يريد في إطار الحفاظ على المبادئ، وأهم المبادئ عندي هي الدين، ربما يختلف معي بعض الناس وهذا حقهم لكني أعبر هنا عن رأيي لا عن آرائهم. 2. يبدو لي واضحًا من سياق العمل عامة وسياق هاتين الفقرتين خاصة أن القعيد كان يستغل بطله كمنصة للتعبير عن سخطه الشخصي، وهذا جلي لكل من يقرأ العمل، ويعضده من الجانب الفني أن هذا الكلام جاء من جانب ""الخير"" في الرواية وليس على لسان بطل شرير مثلا. على مستوى اللغة، جاء أكثر الرواية بلغة عادية وأحيانًا أقل من ذلك، مع أخطاء غير قليلة، لكن يحسب للكاتب استخدامه للفصحى في الحوار وهو أمر أحبه وأقدره. الخلاصة: العمل ضعيف فنيًا وفيه تجرؤ على الله سبحانه وتعالى وصخب وجعجعة أكثر من اللازم ",0,1,0.62
" كلما سُئلتُ عن روايتي المفضلة أبتسم وأقول ""العصفورية"" ، تكاد تُقسم أن القصيبي ألمَّ بكل اسمٍ دخل يومًا التاريخ والتاريخ الأدبي تحديدًا ، كل هذا بِـ أسلوبٍ ساخر لا يتكرر ! إحدى الروايات التي لا تهتم كثيرًا لنهايتها أو بدايتها . فالخوض فيها وحده يغمرك حد الذهول . رواية وُجدت لتُقرأ مِرارًا .",2,1,0.962
 رواية ممتعه واسلوبها رائع,2,0,0.984
 محيرة! تدفعك للتفكر والتأمل طويلا رغم انها قصص قصيرة!,1,1,0.425
 كتاب خفيف،، وعملي،، وتنظيمي يقدم بعض النصائح والمخططات للقراءة في الشهر الفضيل,1,0,0.891
 اضاءات على الطريق تناسب أرباب العقد الثاني من العمر لا أكثر,1,2,0.552
 امممم مدري شقيمها ما احسها ضافت لي شي . الاسلوب عادي ما كان مميز . ومع هذا الرواية ما كانت سيئة ابدا . تستحق نجمتين ونصف,0,1,0.517
 ابدع تركي في الثلاثيه وفقد ابداعه على الاقل بالنسبه لي من بعدها من اجمل ماقرات رغم كبر حجمها,2,0,0.978
 من اجمل الروايات التي قرأتها. كان لعبده خال فيها قدره قويه خفيه للعب بنفسية القاريء بكلماته.,2,0,0.988
 كتاب ممتعة جداً قريته على جلستين كل جلسة منهم توازي ساعتين او ساعة ونص تقريباً في قصص شلتني فعلاً لاني ماعرفتش نهايتها ولان نهايتها مش واضحة ومش واضح حتى الكيان الي احنا بنواجهه ومنها قصة الحاجات الي بتحصل فالشقة والتسجيل بتاع الفيديو وايه الي حصل للناس الي كانت شبه ميتة دي بس فالمجمل جميلة جداً ومادة ممتازة جداً لكل الي عايز يتعلم عن الظواهر الخارقة ,1,0,0.734
