review,true_label,pred_label,confidence
لم أستطع اكمالها وصلت الى الربع الاول منها فقط، لم تروق لي.,0,1,0.932
حين اشتريت هذة الرواية جذبني تصميم غلافها الاكثر من رائع والذي شعرت أنه يعبر عن قصة حب كبيرة جدا بطلها الرسائل حين قرأت الريفيوهات في الصفحة الاولى ظنت اني على حق واني على وشك قراءة قصة حب كبيرة غير عادية صدمتي كانت كبيرة جدا حين انهيتها اولاالقصة محض خرافة لا يكم أن تحصل في الواقع بالمرة ولا في اي موقف من مواقفها ثانيا الشخصيات مثالية بشكل زائد عن اللزوم البطلة وهاشم ودينا وغيرهم قامت الكاتبة بتقسيم الابطال لأخيار وأشرار مع ان الحياة لا تقسمهم بهذة الطريقة فصلاح ظل حتى أخر سطر في الرواية من اقذر الشخصيات دون أن تكتب الكاتبة سببا مقنعا لكمية الفساد الذي صار به هاشم العاشق وتصرفه السخيف جدا في نهاية الرواية جعلني ادرك أني اخطأت حين أحببت شخصيته فهو الشخصية الوحيدة التي اعجبتني توني وزوجته الغريبان اللذان ليس لهما أي وجود في القصة ولا اي لزمة سوى أن يسهلوا بعض الاحداث المالية للبطلة واختفاء نجوى وشخصية حسن اكتر شخصية مستفزة في الرواية كاملة واخيرا اكبر صدمة وهي النهاية النهاية الأسوء مايمكن برغم اني احب النهايات المفتوحة لكنها كانت سيئة جدا جدا وتركت كل المشاكل دون حل بذلت مجهود خرافي لاحب هذة الرواية فلم افلح سوى في حب تصميم غلافها فقط,0,1,0.893
"بصراحه الروايه كانت خاليه من الأفكار التي يمكن أن تشد القراء لها ندمت بعض الشيء لقرائتي لها . أحببت سابقتها ""احببتك أكثر مما ينبغي "" اكثر وكنت أتطلع لنفس المستوى لكنها كانت دونه من حيث الأفكار و الاحداث لكني مازلت احترم اسلوب الكاتبه وهو ما دفعني لأكمال هذه الروايه أظن أنها روايتها الأولى كانت أكثر واقعيه",0,0,0.433
رواية متواضعة ركيكة خالية من الابداع.كان على الكاتبة التمهل حتي تصقل موهبتها ولو وصلت الستين اما ان تخرج لنا بهذا الكتاب ذا القصة المكررة الباهتة فهو غير مقبول منها.ردئية القصة وهناك ما هو افضل لقضاء الوقت به.,0,0,0.511
"ليست رواية ولكنها مجموعة رسائل حب وشوق وصبابة , أسلوب الكاتب جميل جداً وعميق , ولكن الكتاب ممل إلي الحد الذي يصعب إكماله",0,1,0.953
اجمل شيء انو في الرواية تعرية للمجتمع اللي يستر نفسه بالمثالية، واكثر شيء اعجبني حوار ايمن مع الهيئة. فيه من الصحة الشيء الكثير والكثير جدا فيه خلل روائي ما اعرف اصنفه، اوا عبر عنه بكلمة احس الرواية تحوم حول نفسها، تحوم حول دائرة مو قادرة تطلع منها. نجمة وحدة لاسلوب خال اللي ماكان ممتاز ولاسيء، كان جيد جدا. اعجبني اسلوب الفلاش باك في روي الرواية ! لكن مجريات الرواية و الاحداث اشوفها ضعيفة.,0,1,0.867
قاتمة جدا الى درجة انها تسببت لي بالكآبة لا ادري صدقاً ان كان في الناس هذه الايام من به جلد على كتب من هذا النوع السوداوي,0,1,0.988
في الأحداث درامية وخيالية وقفز أكثر شخصيات الرواية متوفين قبل نهايتها بكثير أجمل مافيها أنها تعرفك على شيء من ثقافة يهود اليمن ولو بشكل ضئيل,0,1,0.687
رحمها الله رحمة واسعه . .,0,1,0.772
"أكثر ما جذبني للرواية عنوانها . لكنّها لم تكن بالقدر الذي توقّعته !! الشيء الوحيد الذي أعجبني, مفردات الكاتب وتشبيهاته . للأسف '",0,0,0.637
أكتفي بأن الكاتب غريب الأطوار، ويبدو لي أنه يعاني من الكثير من الاضطراب الذي استطيع أن اقرأه بوضوح في هذه القصة. فهو يصف ممارسة الجنس مع امرأة أصابها المرض، بالجهاد. فقد سافر لها بطل الرواية إلى لبنان ليعاشرها قبل أن تموت وتودع الحياة. أتاها مجاهدا ليحقق لها احلامها الأخيرة!!! . والعياذ بالله. الكتاب بعيد عن كل القيم الدينية والاجتماعية وحتى قيم الرجولة والشهامة. بالنسبة لي كتاب انتشلته من مستنقع ثم رميته فيه مرة أخرى وبلا رجعة .,0,1,0.991
لم أكمل قرأت الكتاب. الكتاب عبارة عن مجموعة من الأراء الصوفية التي لا أقتنع بها.,0,2,0.763
وحين نكون معا في الطريق* وتأخذ - من غير قصد - ذراعي أحس أنا يا صديق . بشيء عميق بشيء يشابه طعم الحريق على مرفقي . وأرفع كفي نحو السماء لتجعل دربي بغير انتهاء وأبكي . وأبكي بغير انقطاع لكي يستمر ضياعي أول القصائد و خاتمتها هي ما أسرتني . . قراءة متواطئة مع الجو الجميل فقط . .,0,0,0.699
اللغة جيدة تشبه لحدِ ما بأسلوب علوان واحلام مستغانمي لكن لا تصنف للعمل الروائي كان الأجدر أن تكون كنصوص او مذكرات العاشقة الضحيه المخذوله ككل العاشقات الشرقيات الفكرة للعمل مكرره والأسس التي تقوم عليها الرواية الحقيقية كانت غائبه,0,1,0.715
نفس نقطة كالعادة ةهي قضية المرأة وخصوصا مسالة ضرب الزوجات فقد فسر ان مرأة تعاني من الماسوشيه لذلك نزلت اية قرانية لان مرأة تستمتع بضرب وأنا للرجل سلطة التأديب ويحق له أن يمنعها من العمل وأنا مكان مرأة طبيعي هو البيت وخصوصا مطبخ تفسير فرض الحجاب بالنسبة للكاتب! غطاء لإثارة الفضول وشهوةاما بالنسبة للحوار تافه جدا وغير مقنع لطفل وخصوصا نظرية التطوراخيرا بتمنى لو لما يتحدث عن وضع المرأة فقد شوه الأسلام فهو ملحد بالنسبة لي أفضل من عاهة جديدة تنضم إلينا,0,1,0.988
حرصا مني ع انهاء اي كتاب اقراه حاولت انهاءه لكن الكتاب لم يعجبني كثيرااا . . ولكن ممكن لاني لا احب قراءه المقالات لانها تعبر عن اراء فرديه لحد ما,0,2,0.77
"- اؤمن أن المرأة كائن هش, لكن رغم هذه الهشاشة إلا أنها تفوق الرجل إصراراً وعطاءاً, احببت شخصية ""هيفاء"" و""لعنت"" عزيز وشعرت بالتقزز من الضعف وإنعدام الكبرياء لدى جمانة ! رجل متلوّن كالحرباء,كل من حولها حذّرها منه, من المبالغة أن تصّر على انتظاره! -لم تكن الرواية غنية بما يكفي بالنسبة لي - فكراً أو لغةً . صدقاً اجمل مافيها هو العنوان ,",0,1,0.815
الروح تسمو بالأنسان نحو السماء حيث أصله السماوي بينما يهبط الجسد بالأنسان للتراب حيث أصله الأرضي سمو الروح يرتقي بالانسان بينما ملذات الماده تحط منه,0,0,0.97
سلامات يا حبوب ماتنساش تبقى تسأل علينا :),0,0,0.979
اول مرة فى حياتى ما اقدرش أكمل كتاب من فرط خجلى منه وانه يوصلنى لمرحلة التقزز ما انصحش بقرائته اطلاقاً برغم روعة تفصيل الشخصيات والتشويق فى البداية واحساسك انك كمكان الشخصيات دى ويمكن عشان كده بقى الامر اصعب,0,1,0.484
اختلف مع الكثير في روائية امين معلوف وحرفيتها فهو في الاصل ليس روائيا وروايته هذه تبعث على الملل والسام تجاهد نفسك لاكمال مجموعة المعلومات التي جمعها وكانها كتاب وثائقي عن عمر الخيام الفارسي.كتاب ممل في وقت نحتاج فيه الى مزيد من التقدم الحرفي لكتابة الرواية والاستمتاع بها لا لان نفتح سلسلة من الوثائق المعلوماتية كتبت بطريقة بليدة لنقول عنها رواية.سيئة,0,1,0.992
"أعتقد أننني أخطأت في اختيار الرواية التي أقرأها هذه المره حاولت كثيرا أثناء قرائتي لها تجاهل تلك الألفاظ المثيره للإشمئزاز لأنني أردت معرفة النهايه مع ذلك لا أنكر أنها كانت ممتعه ومختلفه بعض الشيئ تألمت كثيرا لنهاية جابر واخته """,0,1,0.786
ع الجرح,0,1,0.572
مصرى مضحك,0,1,0.979
"فى أطياف, تهرب كلا من رضوى عشور وصورتها الموازية شجر إلى الماضى من أجل فهم المستقبل. قدرة رضوى عشور على خلط الواقع بالمتخيل والذاتى بالموضوعى مذهلة.",0,0,0.429
معالجة سطحية و كتاب سطحي جدًا، يحاول صاحبه التحاكم - نسبة الى الحكمة - و التفلسف لكن لا يجد اليهما سبيلاً، الأمر الوحيد الذي يستحق القراءة بالكتاب هي نقولات الكاتب عن غيره - و هي ليست كثيره و ليست بذاك، - و قصته مع باولو، لا انصح به,0,1,0.833
مقتنعتش !,0,2,0.464
كتاب تقرأه في غرف الانتظار فقط إلى أن يحين دورك . لا يستحق الضجة الإعلامية التي صاحبته ، وعجزت عن إكماله !,0,1,0.901
الحاجه الوحيده اللى خلتنى اقراه انى احمد حلمى هو اللى عمله (كان فضول عندى اعرف هو هيكتب ايه لانى عارف انها هتيقى كوميديه بطريقه حلمى ) بس فى مقالات كده كانت بتقفلنى من الكتاب زى اخر مقال ده كل شويه يقول انه مش عارف يكتب ايه ومش عارف يبدا بحرف ايه!!!! فى ايه ياحلمى انت بتذلنا يعنى عشان قرانا الكتاب,0,1,0.975
قررت قراءة هذا الكتاب ليس لموضوعـه ولكـن أردت أن اقرأ شيئاً للكاتبة : أحلام . وكان هذا الكتاب من الكتب التي أخذت شهره كبيـرة لكن للأسف الكتاب من أول حرف فيه كان ممل جداً بالنسبة لي . ثم شعرت أنه لن يفيدني بشيء إطلاقاً خصوصاً أنه موجـه لفئة معينه من النساء توقفت عن قراءته لفتره معينة وأخيراً قررت أن لاأكمله لأنني لاأملك وقتاً إضافياً أضيعه مع هذا الكتاب ولأنني لم استمتع به أبداً,0,0,0.465
امممم مدري شقيمها ما احسها ضافت لي شي . الاسلوب عادي ما كان مميز . ومع هذا الرواية ما كانت سيئة ابدا . تستحق نجمتين ونصف,0,1,0.517
"الكتاب بـ مجمله جميل و ممتع. ولكن هناك بعض المآخذ عليه: 1)خاض الدكتور مصطفى في الأبواب الثلاثة الأولى خوضاً يجعل من كلامه فلسفة أكثر من كونه ""بدهيةً و فطرة"" 2)هناك بعض الأقوال التي أجراها مجرى الصحّة و هي بعيدة كل البعد عن ذلك كما ذكر في آخر باب و هو باب ""المسيخ الدجال"" حيث تم تصوير المسيح الدجال و كأنه الكيان العصري و هذا الكلام ينفي وجود شخص الدجال الذي هو مثبت في السنة المطهرة 3) هناك حديث ساقه من غير إسناد و هو لا يصح عن الرسول صلى الله عليه و سلم وهو (تعلم العلم ولو كان في الصين) و إن كان ظاهر الحديث يحث على الخير ،فإنه ينبغي تحري الدقة عند النقل عن أشرف الخلق 4) و أخيراً ، رددتُ كثيراً و أنا أقرأ خاتمة الكتاب [اللهم سلّم سلّم] فإذا به يقول في آخر أسطرهـ ""أن الهدف النهائي من خلقنا هو لكي يُحبّنا الله و يعطينا"". فإن صدّقنا ما قال فأين نذهب من قوله تعالى {وما خلقت الجن والإنس إلا ليعبدون} ؟ أسأل الله له و لي ولكل شخص باحث عن الحقيقة التوفيق والسداد",0,2,0.89
"امممممممممممم . روايه غريبه حاسس اني وقفت قدام لوحه فن تشكيلي في ناس منبهره بيها و عماله تشتم الناس الاغبيا اللي مش شايفين قد ايه هيا جميله !!!!!الروايه فعلا لوحه .انا مش شايف احداث متسارعه متلاحقه تخليني انجذب ليها, كنت ممكن في اي وقت اقفلها و اكملها تاني يوم و مش حاسس اني حاموت و اعرف ايه اللي حايحصل .بأختصارعيب الروايه الاحداث الممطوطه بدرجه غريبه و دا اللي انا مستغربه د احمد خالد عندو احسن من كده ميت مره . الاهم من كدا ان الواقع اوسخ من كدا ستين مره",0,1,0.963
رائع . لا يتكلم فقط مع الملحدين ولكن اى منا قد يوسوس له الشيطان باحد من هذة الاسئلة اجاباته عقلانية ومقنعة بل و مذهلة فى صدقها و ترتيبها و سهولة طرحها . تعرف الله عن طريق عقلك وتؤمن به ايماناً حقيقاً أكثر من مجرد ترديد,0,0,0.755
