sku,date,units_sold
SKU_100,2023-01-09,38
SKU_100,2023-02-13,13
SKU_100,2023-02-27,34
SKU_100,2023-03-20,11
SKU_100,2023-04-03,16
SKU_100,2023-04-10,14
SKU_100,2023-04-17,20
SKU_100,2023-04-24,13
SKU_100,2023-05-01,48
SKU_100,2023-05-08,20
SKU_100,2023-05-15,62
SKU_100,2023-05-22,40
SKU_100,2023-05-29,51
SKU_100,2023-06-05,11
SKU_100,2023-06-12,13
SKU_100,2023-06-19,36
SKU_100,2023-06-26,19
SKU_100,2023-07-10,3
SKU_100,2023-07-17,3
SKU_100,2023-07-31,17
SKU_100,2023-08-07,17
SKU_100,2023-08-14,36
SKU_100,2023-08-21,29
SKU_100,2023-08-28,19
SKU_100,2023-09-04,7
SKU_100,2023-09-11,19
SKU_100,2023-09-18,23
SKU_100,2023-10-09,34
SKU_100,2023-10-16,2
SKU_100,2023-10-23,26
SKU_100,2023-11-06,36
SKU_100,2023-11-13,18
SKU_100,2023-11-20,18
SKU_100,2023-11-27,17
SKU_100,2023-12-25,30
SKU_100,2024-01-01,41
SKU_100,2024-01-08,2
SKU_100,2024-01-15,17
SKU_100,2024-01-22,42
SKU_100,2024-01-29,39
SKU_100,2024-02-05,20
SKU_100,2024-02-12,24
SKU_100,2024-02-26,4
SKU_100,2024-03-18,19
SKU_100,2024-03-25,12
SKU_100,2024-04-01,43
SKU_100,2024-04-08,3
SKU_100,2024-04-15,14
SKU_100,2024-04-22,53
SKU_100,2024-04-29,2
SKU_100,2024-05-06,28
SKU_100,2024-05-20,15
SKU_100,2024-05-27,15
SKU_100,2024-06-03,31
SKU_100,2024-06-10,2
SKU_100,2024-06-17,20
SKU_101,2023-01-02,13
SKU_101,2023-01-09,1
SKU_101,2023-01-16,7
SKU_101,2023-01-23,7
SKU_101,2023-02-13,39
SKU_101,2023-02-27,11
SKU_101,2023-03-20,14
SKU_101,2023-03-27,12
SKU_101,2023-04-03,27
SKU_101,2023-04-10,10
SKU_101,2023-04-17,49
SKU_101,2023-05-01,7
SKU_101,2023-05-08,24
SKU_101,2023-05-15,21
SKU_101,2023-05-29,17
SKU_101,2023-06-05,1
SKU_101,2023-06-26,10
SKU_101,2023-07-10,77
SKU_101,2023-07-24,11
SKU_101,2023-07-31,34
SKU_101,2023-08-07,18
SKU_101,2023-08-21,2
SKU_101,2023-08-28,39
SKU_101,2023-09-04,5
SKU_101,2023-09-11,4
SKU_101,2023-09-18,11
SKU_101,2023-10-02,10
SKU_101,2023-10-09,28
SKU_101,2023-10-16,24
SKU_101,2023-10-23,10
SKU_101,2023-11-06,15
SKU_101,2023-11-13,26
SKU_101,2023-11-20,7
SKU_101,2023-11-27,13
SKU_101,2023-12-04,20
SKU_101,2023-12-11,1
SKU_101,2023-12-25,43
SKU_101,2024-01-08,29
SKU_101,2024-01-29,29
SKU_101,2024-02-05,58
SKU_101,2024-02-12,15
SKU_101,2024-02-26,38
SKU_101,2024-03-04,22
SKU_101,2024-03-11,24
SKU_101,2024-03-18,27
SKU_101,2024-03-25,9
SKU_101,2024-04-08,16
SKU_101,2024-04-15,20
SKU_101,2024-04-22,8
SKU_101,2024-04-29,4
SKU_101,2024-05-13,41
SKU_101,2024-05-20,8
SKU_101,2024-05-27,4
SKU_101,2024-06-10,20
SKU_101,2024-06-17,15
SKU_102,2023-01-09,32
SKU_102,2023-01-23,15
SKU_102,2023-01-30,18
SKU_102,2023-02-13,13
SKU_102,2023-02-20,10
SKU_102,2023-02-27,20
SKU_102,2023-03-06,18
SKU_102,2023-03-20,52
SKU_102,2023-03-27,18
SKU_102,2023-04-03,34
SKU_102,2023-04-10,27
SKU_102,2023-04-17,15
SKU_102,2023-05-01,7
SKU_102,2023-05-08,22
SKU_102,2023-05-15,20
SKU_102,2023-05-22,3
SKU_102,2023-06-05,11
SKU_102,2023-06-12,12
SKU_102,2023-06-19,7
SKU_102,2023-06-26,22
SKU_102,2023-07-03,16
SKU_102,2023-07-10,8
SKU_102,2023-07-17,33
SKU_102,2023-07-24,14
SKU_102,2023-07-31,14
SKU_102,2023-08-07,3
SKU_102,2023-08-14,10
SKU_102,2023-08-21,18
SKU_102,2023-08-28,10
SKU_102,2023-09-11,16
SKU_102,2023-09-18,26
SKU_102,2023-09-25,42
SKU_102,2023-10-02,8
SKU_102,2023-10-09,21
SKU_102,2023-10-16,17
SKU_102,2023-10-23,45
SKU_102,2023-10-30,17
SKU_102,2023-11-06,8
SKU_102,2023-11-13,17
SKU_102,2023-11-20,19
SKU_102,2023-11-27,15
SKU_102,2023-12-04,24
SKU_102,2023-12-18,11
SKU_102,2023-12-25,25
SKU_102,2024-01-01,10
SKU_102,2024-01-08,42
SKU_102,2024-01-15,17
SKU_102,2024-01-22,1
SKU_102,2024-01-29,20
SKU_102,2024-02-05,18
SKU_102,2024-02-12,23
SKU_102,2024-02-19,17
SKU_102,2024-02-26,17
SKU_102,2024-03-04,16
SKU_102,2024-03-11,24
SKU_102,2024-03-18,35
SKU_102,2024-03-25,20
SKU_102,2024-04-08,36
SKU_102,2024-05-06,1
SKU_102,2024-05-20,5
SKU_102,2024-05-27,4
SKU_102,2024-06-03,32
SKU_102,2024-06-10,13
SKU_102,2024-06-24,13
SKU_103,2023-01-02,15
SKU_103,2023-01-16,30
SKU_103,2023-01-23,52
SKU_103,2023-01-30,16
SKU_103,2023-02-06,24
SKU_103,2023-02-13,29
SKU_103,2023-02-20,20
SKU_103,2023-02-27,35
SKU_103,2023-03-06,12
SKU_103,2023-03-13,15
SKU_103,2023-03-20,31
SKU_103,2023-04-03,10
SKU_103,2023-04-24,13
SKU_103,2023-05-01,24
SKU_103,2023-05-08,32
SKU_103,2023-05-15,9
SKU_103,2023-05-22,2
SKU_103,2023-05-29,20
SKU_103,2023-06-05,3
SKU_103,2023-06-12,23
SKU_103,2023-06-26,16
SKU_103,2023-07-03,31
SKU_103,2023-07-10,29
SKU_103,2023-07-17,38
SKU_103,2023-07-24,9
SKU_103,2023-08-07,14
SKU_103,2023-08-14,25
SKU_103,2023-08-21,9
SKU_103,2023-08-28,20
SKU_103,2023-09-04,16
SKU_103,2023-09-11,11
SKU_103,2023-10-02,39
SKU_103,2023-10-09,16
SKU_103,2023-10-23,35
SKU_103,2023-10-30,5
SKU_103,2023-11-13,15
SKU_103,2023-12-04,15
SKU_103,2023-12-18,6
SKU_103,2023-12-25,4
SKU_103,2024-01-01,19
SKU_103,2024-01-08,16
SKU_103,2024-01-15,25
SKU_103,2024-01-29,5
SKU_103,2024-02-05,24
SKU_103,2024-02-19,17
SKU_103,2024-02-26,17
SKU_103,2024-03-04,3
SKU_103,2024-03-11,21
