customer_id,gender,age,country,segment,join_date
CUST_0,Female,58,Qatar,Silver,2023-04-14
CUST_1,Male,46,Qatar,Silver,2023-02-14
CUST_2,Female,28,Qatar,Bronze,2023-06-09
CUST_3,Female,58,Oman,Gold,2023-02-04
CUST_4,Male,46,UAE,Bronze,2021-08-03
CUST_5,Female,40,Oman,Silver,2023-04-07
CUST_6,Male,60,KSA,Gold,2021-02-24
CUST_7,Female,60,KSA,Gold,2022-05-13
CUST_8,Female,55,UAE,Silver,2021-09-16
CUST_9,Male,55,UAE,Bronze,2021-10-22
CUST_10,Female,52,Qatar,Silver,2022-02-13
CUST_11,Male,57,KSA,Gold,2022-05-22
CUST_12,Female,58,Qatar,Silver,2021-06-02
CUST_13,Female,33,UAE,Bronze,2021-01-14
CUST_14,Male,52,UAE,Gold,2022-05-11
CUST_15,Male,21,KSA,Silver,2021-03-11
CUST_16,Male,57,UAE,Bronze,2022-05-16
CUST_17,Female,26,Oman,Gold,2022-02-09
CUST_18,Female,44,Oman,Silver,2022-10-16
CUST_19,Male,19,Oman,Bronze,2022-05-11
CUST_20,Male,40,KSA,Silver,2022-08-10
CUST_21,Female,41,KSA,Bronze,2021-12-16
CUST_22,Male,52,KSA,Gold,2022-12-26
CUST_23,Male,18,UAE,Gold,2022-12-03
CUST_24,Female,23,KSA,Gold,2023-01-25
CUST_25,Female,28,UAE,Gold,2021-04-03
CUST_26,Female,36,UAE,Bronze,2023-05-10
CUST_27,Female,63,Qatar,Gold,2022-01-28
CUST_28,Female,19,Qatar,Gold,2021-02-08
CUST_29,Male,24,Oman,Silver,2022-07-24
CUST_30,Male,26,Qatar,Silver,2021-05-24
CUST_31,Female,35,Oman,Gold,2023-05-07
CUST_32,Female,21,Oman,Gold,2021-02-09
CUST_33,Female,59,KSA,Silver,2022-03-17
CUST_34,Male,22,Qatar,Gold,2022-04-10
CUST_35,Male,20,UAE,Silver,2022-07-11
CUST_36,Male,50,Qatar,Silver,2021-06-14
CUST_37,Male,64,UAE,Bronze,2022-09-28
CUST_38,Female,21,Qatar,Silver,2021-04-08
CUST_39,Female,58,Oman,Bronze,2021-10-05
CUST_40,Female,47,Qatar,Silver,2021-12-05
CUST_41,Male,32,KSA,Silver,2022-08-30
CUST_42,Female,64,Qatar,Bronze,2022-10-06
CUST_43,Female,49,UAE,Gold,2022-08-27
CUST_44,Male,65,Oman,Bronze,2023-04-18
CUST_45,Female,38,KSA,Gold,2021-10-17
CUST_46,Male,52,UAE,Silver,2023-03-01
CUST_47,Male,30,Qatar,Gold,2021-11-20
CUST_48,Female,57,KSA,Gold,2021-01-26
CUST_49,Female,20,UAE,Gold,2023-03-18
CUST_50,Female,47,Qatar,Silver,2021-06-07
CUST_51,Female,40,KSA,Bronze,2021-09-26
CUST_52,Female,36,UAE,Silver,2023-03-06
CUST_53,Male,39,UAE,Gold,2021-08-04
CUST_54,Male,58,KSA,Gold,2022-04-28
CUST_55,Female,50,KSA,Gold,2021-07-17
CUST_56,Male,42,KSA,Bronze,2022-05-02
CUST_57,Male,52,UAE,Bronze,2021-09-12
CUST_58,Male,52,Oman,Bronze,2021-09-22
CUST_59,Male,28,Qatar,Bronze,2021-03-22
CUST_60,Female,37,KSA,Gold,2021-01-22
CUST_61,Female,61,Oman,Silver,2022-02-12
CUST_62,Male,24,KSA,Silver,2021-05-10
CUST_63,Female,51,UAE,Gold,2021-04-20
CUST_64,Male,60,Oman,Silver,2022-08-02
CUST_65,Male,41,KSA,Gold,2022-03-16
CUST_66,Male,44,Oman,Gold,2021-12-08
CUST_67,Female,25,UAE,Gold,2023-04-28
CUST_68,Male,43,Oman,Bronze,2022-04-08
CUST_69,Female,35,Oman,Bronze,2022-10-23
CUST_70,Female,24,Qatar,Silver,2023-05-02
CUST_71,Female,56,Qatar,Silver,2021-08-29
CUST_72,Female,30,Oman,Silver,2022-07-17
CUST_73,Female,29,Qatar,Silver,2021-07-10
CUST_74,Female,52,Oman,Bronze,2022-03-31
CUST_75,Male,61,Qatar,Gold,2022-05-09
CUST_76,Female,20,KSA,Bronze,2022-02-02
CUST_77,Male,60,Oman,Bronze,2021-06-14
CUST_78,Male,24,Qatar,Bronze,2023-04-29
CUST_79,Male,57,Qatar,Bronze,2023-01-12
CUST_80,Male,61,Oman,Bronze,2022-10-24
CUST_81,Male,40,UAE,Bronze,2023-04-11
CUST_82,Female,64,KSA,Gold,2022-09-17
CUST_83,Male,59,Qatar,Silver,2021-08-17
