customer_id,points_earned,txn_amount,txn_date
CUST_2155,462,43.36,2023-01-12
CUST_1420,147,248.41,2023-01-28
CUST_853,263,139.86,2024-02-25
CUST_1563,493,154.53,2023-05-20
CUST_1876,26,174.78,2024-03-26
CUST_2692,471,75.06,2023-01-16
CUST_459,69,205.81,2023-07-19
CUST_2700,73,255.9,2023-06-14
CUST_3502,154,139.95,2024-06-23
CUST_4327,200,224.85,2023-09-22
CUST_374,97,69.21,2023-11-22
CUST_3684,478,228.76,2023-09-12
CUST_2217,439,151.66,2023-10-28
CUST_3099,193,25.02,2023-12-19
CUST_811,175,290.19,2024-04-29
CUST_87,257,84.43,2023-02-01
CUST_1815,466,158.09,2024-06-11
CUST_4406,84,249.69,2024-03-22
CUST_1172,27,51.89,2023-03-25
CUST_2610,423,51.55,2023-04-21
CUST_393,257,201.21,2023-06-27
CUST_3865,303,115.83,2024-03-11
CUST_2564,357,144.11,2024-05-19
CUST_3549,463,183.93,2024-06-01
CUST_1152,198,14.56,2024-04-04
CUST_3573,444,182.64,2023-01-28
CUST_3471,185,282.07,2023-09-08
CUST_3672,420,218.05,2024-06-11
CUST_4828,366,52.92,2023-09-25
CUST_978,333,110.53,2023-08-04
CUST_65,458,278.01,2023-04-23
CUST_4042,272,67.41,2023-03-22
CUST_2703,443,142.98,2023-08-22
CUST_4841,362,67.16,2023-03-02
CUST_3483,378,42.03,2024-02-24
CUST_2953,269,293.42,2024-02-24
CUST_4307,410,157.92,2023-03-29
CUST_3812,437,119.53,2023-09-03
CUST_3448,44,198.52,2023-01-23
CUST_633,77,286.1,2024-04-06
CUST_453,466,140.72,2023-12-16
CUST_4699,110,186.73,2023-09-29
CUST_4387,91,252.44,2024-05-05
CUST_2179,496,26.91,2024-03-05
CUST_2209,486,201.82,2023-07-21
CUST_1696,150,27.81,2023-11-11
CUST_4275,181,209.46,2024-06-13
CUST_4862,314,288.41,2023-11-17
CUST_4187,243,141.24,2023-02-27
CUST_2570,434,136.65,2024-05-15
CUST_2567,260,178.73,2023-09-10
CUST_4157,45,166.3,2023-07-19
CUST_1653,92,27.69,2024-06-16
CUST_1670,293,222.86,2024-04-23
CUST_2694,464,94.06,2024-02-07
CUST_27,64,45.53,2024-03-31
CUST_4873,309,61.83,2024-02-08
CUST_1117,78,86.03,2024-04-15
CUST_3338,56,286.42,2024-03-31
CUST_2541,427,165.14,2023-08-13
CUST_3125,32,38.03,2024-04-30
CUST_182,375,191.24,2023-04-15
CUST_1078,143,115.44,2024-03-14
CUST_1010,477,101.07,2023-03-23
CUST_870,289,283.96,2024-05-19
CUST_2749,78,62.3,2024-02-04
CUST_957,364,12.71,2024-04-11
CUST_3352,226,254.09,2023-09-24
CUST_2927,449,131.06,2024-03-22
CUST_266,155,63.25,2023-09-14
CUST_509,120,249.41,2023-03-27
CUST_4776,491,140.86,2023-10-01
CUST_2452,195,130.35,2024-03-10
CUST_1307,431,32.82,2023-03-17
CUST_2452,321,170.16,2023-06-15
CUST_3543,337,268.6,2024-04-01
CUST_2633,190,147.52,2023-03-18
CUST_992,357,81.93,2023-05-20
CUST_680,136,178.97,2023-03-08
CUST_4304,479,80.1,2024-01-23
CUST_1382,413,241.8,2023-02-18
CUST_4724,241,135.58,2023-06-13
CUST_1463,406,14.74,2023-06-30
CUST_628,120,284.55,2023-03-28
CUST_1863,106,127.97,2023-01-29
CUST_4835,157,247.55,2024-06-15
CUST_4954,82,153.43,2023-10-22
CUST_3492,253,149.58,2023-07-30
CUST_4016,106,59.07,2023-10-31
CUST_2717,241,43.15,2023-10-24
CUST_2994,148,174.03,2023-12-05
CUST_4424,139,147.93,2024-03-21
CUST_3292,31,85.56,2024-04-12
CUST_4451,57,148.67,2023-06-28
CUST_3981,56,121.71,2023-04-24
CUST_2225,168,63.73,2023-10-21
CUST_4772,203,71.82,2023-07-12
CUST_2228,262,21.63,2023-06-27
CUST_2541,95,179.63,2023-01-12
CUST_2639,491,291.27,2024-01-16
CUST_3845,496,43.46,2023-10-05
CUST_298,235,77.27,2023-02-20
CUST_3136,294,22.36,2023-04-01
CUST_3118,415,172.59,2023-02-14
CUST_1155,135,189.42,2023-10-04
CUST_3586,210,211.11,2024-04-30
CUST_1622,75,282.67,2023-11-24
CUST_4731,61,169.78,2023-08-16
CUST_4974,303,24.86,2023-12-15
CUST_4337,163,283.0,2024-05-29
CUST_4200,103,89.94,2023-11-14
CUST_944,44,261.54,2023-10-30
CUST_32,440,77.37,2024-06-18
CUST_3287,241,23.24,2023-10-04
CUST_3462,64,227.83,2023-01-19
CUST_4422,416,86.94,2023-08-08
CUST_4187,47,18.5,2023-09-02
CUST_2009,265,256.38,2024-02-10
CUST_1376,46,173.0,2024-03-25
CUST_4595,75,49.69,2023-02-07
CUST_3273,137,98.95,2023-03-08
CUST_2309,209,92.84,2023-12-18
CUST_2676,324,15.88,2024-06-03
CUST_3899,187,292.53,2023-04-25
CUST_501,367,295.23,2023-11-13
CUST_3721,197,115.03,2023-03-15
CUST_4850,350,79.06,2023-10-27
CUST_4490,68,93.67,2024-04-05
CUST_3864,492,150.8,2023-06-04
CUST_2955,132,66.13,2023-03-19
CUST_4054,315,278.66,2024-06-17
CUST_4802,96,182.32,2023-09-02
CUST_1972,267,204.91,2023-06-07
CUST_4532,500,152.19,2023-03-24
CUST_453,410,153.77,2023-02-16
CUST_1174,207,57.71,2023-08-17
CUST_1736,95,288.15,2023-09-16
CUST_3149,31,287.57,2024-05-13
CUST_2617,203,147.43,2023-08-07
CUST_4856,152,89.3,2023-05-22
CUST_2340,429,149.56,2023-05-30
CUST_1288,472,132.9,2023-05-22
CUST_1222,266,260.65,2024-05-05
CUST_1796,166,226.52,2023-09-08
CUST_3102,32,234.24,2023-06-12
CUST_1476,79,53.49,2023-08-11
CUST_2705,202,39.09,2024-04-01
CUST_4322,119,98.51,2023-12-29
CUST_586,429,142.35,2023-10-06
CUST_4155,420,263.74,2023-01-26
CUST_4223,394,34.19,2023-03-27
CUST_2367,384,273.93,2023-05-27
CUST_2293,66,245.62,2023-05-26
CUST_4911,233,294.54,2023-06-24
CUST_4935,262,117.45,2023-12-31
CUST_4200,366,157.4,2023-05-21
CUST_255,399,189.68,2023-06-02
CUST_2144,326,168.7,2024-05-16
CUST_4965,100,187.19,2023-01-28
CUST_3626,234,164.74,2024-02-22
CUST_2257,490,111.36,2023-03-26
CUST_4866,169,92.39,2023-10-04
CUST_1154,411,298.78,2023-11-10
CUST_1822,260,52.58,2024-04-19
CUST_1340,415,77.03,2023-07-12
CUST_4366,119,68.81,2023-09-17
CUST_3046,363,139.74,2023-12-28
CUST_4035,287,108.68,2023-08-13
CUST_4867,110,293.71,2023-08-26
CUST_877,452,273.48,2023-03-20
CUST_2702,120,43.02,2024-02-03
CUST_2066,187,282.03,2024-03-06
CUST_3643,476,112.08,2024-01-23
CUST_286,191,148.53,2024-03-29
CUST_766,195,190.4,2024-05-05
CUST_4422,124,273.4,2023-03-30
CUST_1903,197,124.69,2023-08-20
CUST_2758,18,45.49,2024-01-16
CUST_4514,166,42.84,2023-12-10
CUST_1988,383,85.51,2023-02-26
CUST_1908,235,65.84,2023-03-21
CUST_193,488,201.94,2023-05-23
CUST_1083,26,34.08,2023-05-12
CUST_1871,429,166.62,2024-04-11
CUST_1032,332,134.73,2023-06-29
CUST_3250,285,124.22,2023-02-10
CUST_3450,127,10.21,2024-02-28
CUST_135,329,190.52,2024-05-07
CUST_2325,288,288.89,2024-02-28
CUST_1870,482,182.53,2024-02-22
CUST_3711,170,286.69,2024-06-05
CUST_4719,96,191.25,2023-04-11
CUST_4703,410,288.85,2023-12-06
CUST_147,75,189.31,2023-03-30
CUST_2500,307,198.42,2024-06-22
CUST_1556,173,14.12,2024-06-22
CUST_1199,488,138.55,2023-09-08
CUST_1052,326,218.51,2023-07-14
CUST_4101,391,124.93,2023-10-24
CUST_452,366,278.52,2023-05-09
CUST_107,443,124.94,2023-09-06
CUST_1615,113,59.78,2023-11-27
CUST_4989,46,249.42,2024-02-06
CUST_3114,168,266.37,2024-01-22
CUST_605,183,37.01,2023-04-24
CUST_2403,434,213.49,2024-01-30
CUST_3382,418,106.64,2023-09-16
CUST_1571,328,130.45,2023-05-31
CUST_4873,251,172.82,2024-01-19
CUST_4789,19,25.02,2024-03-18
CUST_29,154,142.04,2023-01-16
CUST_1534,92,130.7,2023-07-23
CUST_4327,268,233.95,2023-01-14
CUST_1554,477,173.33,2023-11-10
CUST_2190,327,143.26,2023-07-26
CUST_175,196,71.67,2023-05-01
CUST_4333,340,201.32,2024-06-14
CUST_826,400,56.68,2023-08-15
CUST_2547,457,264.79,2023-01-09
CUST_1321,267,264.39,2023-10-06
CUST_1951,387,132.07,2023-05-29
CUST_272,401,34.78,2024-03-17
CUST_1214,392,296.57,2024-05-18
CUST_4355,97,29.89,2023-07-31
CUST_321,59,290.39,2023-04-07
CUST_46,478,130.34,2023-04-12
CUST_4911,260,244.28,2023-02-18
CUST_4615,256,206.13,2023-11-06
CUST_1265,368,19.74,2023-10-16
CUST_3750,436,205.16,2024-03-24
CUST_1974,62,291.8,2024-03-12
CUST_4943,498,99.89,2023-02-21
CUST_628,315,220.91,2023-07-25
CUST_1143,78,275.29,2023-10-13
CUST_2679,390,244.44,2024-01-28
CUST_3873,50,84.98,2023-06-18
CUST_1463,339,206.75,2024-05-08
CUST_3947,493,119.63,2023-01-14
CUST_1606,126,247.64,2023-06-06
CUST_3051,30,178.65,2024-04-14
CUST_2528,428,265.96,2023-10-07
CUST_4215,123,34.12,2023-09-23
CUST_4760,459,256.73,2023-10-21
CUST_74,418,296.97,2024-03-01
CUST_669,233,217.3,2024-02-12
CUST_3141,124,223.42,2024-04-30
CUST_1639,248,57.16,2024-05-11
CUST_3940,200,168.12,2023-11-20
CUST_3300,116,183.92,2023-09-04
CUST_267,62,248.49,2024-03-30
CUST_4565,289,39.54,2024-06-09
CUST_4661,174,248.86,2023-05-28
CUST_1036,98,296.89,2024-06-16
CUST_1901,356,295.95,2023-08-02
CUST_4339,229,49.52,2023-12-11
CUST_1160,346,48.06,2023-10-08
CUST_1074,83,131.16,2023-10-26
CUST_136,72,84.98,2023-03-19
CUST_1156,108,269.28,2023-10-09
CUST_3121,431,123.24,2024-01-07
CUST_3587,241,132.14,2023-12-12
CUST_884,333,194.98,2024-02-18
CUST_1017,258,84.84,2024-01-01
CUST_1412,73,18.13,2023-11-06
CUST_1921,325,165.6,2023-11-15
CUST_4611,462,67.98,2024-06-08
CUST_2039,370,39.08,2023-01-28
CUST_2140,209,135.26,2024-02-26
CUST_85,402,286.17,2024-06-13
CUST_4544,253,94.67,2024-02-06
CUST_908,332,191.71,2023-12-20
CUST_3474,349,286.22,2024-04-01
CUST_938,85,91.3,2024-03-13
CUST_4519,176,237.79,2024-01-20
CUST_3096,227,97.61,2024-04-12
CUST_4616,90,276.68,2024-03-14
CUST_4899,356,268.53,2024-01-12
CUST_1498,291,286.63,2023-02-11
CUST_3726,367,96.25,2024-04-29
CUST_4462,103,106.29,2023-10-12
CUST_2567,249,119.92,2023-10-25
CUST_2415,425,141.13,2023-10-29
CUST_334,34,41.63,2023-06-25
CUST_3165,271,81.68,2024-05-17
CUST_4278,49,78.01,2023-06-13
CUST_2162,98,264.39,2023-05-13
CUST_2357,224,226.85,2023-02-17
CUST_2564,91,29.29,2023-08-21
CUST_506,182,244.85,2024-05-19
CUST_1101,203,240.63,2024-05-01
CUST_4688,291,65.94,2024-04-10
CUST_388,84,219.22,2023-02-14
CUST_1575,29,87.86,2023-02-20
CUST_399,481,239.34,2023-07-25
CUST_4624,440,15.15,2024-04-19
CUST_754,76,274.23,2023-01-29
