store_id,sku,units_sold,price_per_unit,date
Store_1,SKU_194,9,7.25,2023-04-25
Store_2,SKU_186,18,3.54,2023-05-23
Store_1,SKU_103,3,6.64,2024-03-08
Store_10,SKU_103,18,6.17,2024-06-01
Store_4,SKU_157,19,8.04,2024-03-05
Store_3,SKU_189,14,9.5,2023-01-07
Store_4,SKU_197,11,3.9,2023-06-09
Store_2,SKU_145,12,15.69,2024-01-25
Store_8,SKU_168,4,24.37,2023-02-14
Store_2,SKU_170,10,20.99,2024-01-23
Store_10,SKU_124,3,2.58,2024-01-06
Store_5,SKU_110,8,21.86,2023-08-22
Store_5,SKU_158,12,5.32,2024-01-25
Store_4,SKU_185,9,17.99,2023-12-30
Store_10,SKU_181,6,14.05,2023-03-15
Store_3,SKU_159,13,7.84,2023-09-08
Store_6,SKU_198,2,6.88,2023-08-13
Store_6,SKU_151,9,3.06,2023-02-02
Store_4,SKU_183,16,10.8,2023-11-19
Store_3,SKU_133,5,7.3,2024-04-14
Store_10,SKU_154,19,10.89,2023-09-27
Store_3,SKU_165,16,3.64,2023-08-13
Store_2,SKU_119,6,20.11,2023-02-18
Store_10,SKU_108,13,10.47,2024-03-08
Store_9,SKU_132,18,21.73,2024-04-24
Store_2,SKU_187,18,19.15,2023-01-12
Store_2,SKU_137,14,5.22,2023-12-15
Store_5,SKU_164,6,13.43,2023-01-04
Store_5,SKU_181,17,15.81,2023-04-19
Store_6,SKU_197,6,14.18,2023-06-06
Store_10,SKU_141,16,1.96,2023-01-01
Store_5,SKU_130,2,7.16,2024-01-07
Store_2,SKU_193,16,20.68,2023-03-22
Store_3,SKU_184,16,23.75,2023-05-09
Store_5,SKU_167,20,11.44,2023-06-19
Store_9,SKU_196,7,18.25,2023-08-05
Store_6,SKU_156,17,12.11,2024-02-13
Store_4,SKU_108,11,1.99,2023-09-11
Store_10,SKU_128,1,3.17,2023-08-24
Store_4,SKU_108,2,21.7,2023-03-02
Store_9,SKU_130,9,17.22,2023-03-14
Store_9,SKU_116,19,15.04,2023-08-08
Store_8,SKU_152,7,3.72,2023-09-06
Store_6,SKU_154,14,12.48,2024-03-17
Store_2,SKU_107,13,18.61,2023-02-25
Store_4,SKU_124,7,14.1,2023-04-22
Store_7,SKU_123,9,12.37,2023-05-24
Store_8,SKU_170,4,2.69,2023-03-19
Store_2,SKU_196,8,5.41,2023-01-16
Store_8,SKU_127,13,22.71,2024-05-12
Store_7,SKU_100,13,7.73,2023-06-18
Store_5,SKU_154,18,17.05,2024-04-10
Store_3,SKU_124,10,6.62,2024-05-13
Store_10,SKU_194,18,2.93,2023-03-01
Store_1,SKU_106,19,12.7,2023-11-18
Store_1,SKU_165,3,21.51,2023-06-11
Store_10,SKU_108,8,10.99,2023-03-12
Store_10,SKU_176,2,16.06,2023-09-10
Store_10,SKU_172,17,8.93,2024-03-05
Store_4,SKU_185,11,7.11,2023-09-25
Store_3,SKU_185,10,12.24,2024-02-10
Store_1,SKU_158,20,24.96,2023-03-16
Store_2,SKU_168,7,13.39,2023-04-13
Store_6,SKU_108,8,10.18,2023-05-16
Store_8,SKU_169,10,15.87,2023-06-11
Store_9,SKU_138,4,23.56,2023-01-09
Store_5,SKU_114,4,18.95,2023-05-18
Store_5,SKU_136,20,6.45,2023-06-09
Store_4,SKU_187,9,13.38,2023-12-18
Store_1,SKU_111,14,20.99,2023-09-15
Store_1,SKU_142,5,16.47,2023-02-15
Store_3,SKU_194,15,14.46,2023-09-26
Store_9,SKU_101,4,3.27,2024-03-13
Store_9,SKU_104,12,15.19,2023-06-02
Store_7,SKU_116,2,8.74,2023-06-01
Store_6,SKU_126,8,17.17,2023-02-10
Store_9,SKU_152,20,19.11,2023-12-29
Store_3,SKU_122,14,2.08,2023-08-31
Store_7,SKU_185,8,7.77,2023-12-07
Store_7,SKU_104,16,6.73,2023-04-21
Store_6,SKU_139,8,6.74,2024-04-16
Store_7,SKU_142,9,21.81,2023-07-17
Store_6,SKU_182,17,10.89,2023-10-13
Store_1,SKU_114,9,5.7,2023-12-06
Store_1,SKU_113,20,11.71,2023-09-29
Store_7,SKU_177,17,4.22,2023-11-18
Store_5,SKU_105,14,1.54,2023-07-14
Store_6,SKU_155,3,23.8,2023-07-21
Store_10,SKU_140,4,18.41,2023-12-05
Store_9,SKU_139,14,9.17,2023-11-04
Store_9,SKU_116,7,11.38,2023-10-30
Store_3,SKU_178,19,8.57,2024-01-24
Store_5,SKU_136,7,11.6,2023-01-01
Store_8,SKU_156,15,17.38,2023-11-26
Store_8,SKU_194,6,16.98,2024-06-07
Store_9,SKU_184,20,9.38,2023-10-18
Store_5,SKU_128,7,4.96,2023-08-29
Store_4,SKU_160,20,21.47,2023-02-17
Store_8,SKU_153,19,6.07,2023-03-16
Store_8,SKU_151,8,4.97,2024-01-29
Store_2,SKU_199,14,6.64,2023-01-06
Store_8,SKU_106,18,7.36,2024-06-14
Store_8,SKU_117,15,17.19,2023-05-05
Store_8,SKU_178,17,11.53,2023-11-21
Store_3,SKU_195,16,12.08,2024-04-01
Store_5,SKU_198,17,12.89,2023-09-11
Store_5,SKU_156,3,18.27,2023-09-02
Store_5,SKU_142,11,22.49,2023-08-29
Store_3,SKU_119,8,10.5,2023-03-24
Store_4,SKU_108,14,11.08,2023-06-06
Store_7,SKU_107,7,21.07,2024-04-22
Store_10,SKU_189,1,21.63,2024-02-03
Store_8,SKU_100,12,8.52,2024-01-25
Store_7,SKU_168,18,20.3,2024-02-04
Store_8,SKU_128,9,11.74,2023-08-14
Store_7,SKU_143,13,18.52,2023-01-30
Store_3,SKU_179,18,2.13,2024-04-23
Store_10,SKU_172,1,3.47,2024-02-08
Store_3,SKU_159,6,2.68,2024-03-14
Store_6,SKU_127,15,9.18,2024-01-24
Store_5,SKU_196,14,7.43,2024-01-24
Store_8,SKU_102,18,2.72,2023-03-25
Store_4,SKU_183,3,19.86,2023-12-25
Store_1,SKU_131,7,21.22,2023-02-11
Store_4,SKU_116,16,17.23,2023-06-06
Store_8,SKU_189,9,19.52,2023-08-12
Store_10,SKU_177,4,19.78,2023-06-21
Store_5,SKU_113,19,2.1,2023-06-17
Store_10,SKU_186,13,10.82,2023-11-16
Store_2,SKU_175,8,3.89,2023-07-23
Store_10,SKU_115,19,19.89,2023-11-05
Store_9,SKU_154,12,3.12,2023-12-22
Store_1,SKU_153,16,3.98,2023-12-16
Store_8,SKU_190,5,11.73,2024-01-06
Store_5,SKU_178,18,19.7,2024-06-18
Store_7,SKU_193,19,7.81,2024-04-21
Store_2,SKU_135,15,7.23,2023-09-09
Store_10,SKU_178,13,9.41,2024-04-20
